Threshold,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,Precision,F1,Youden_J,TN,FP,FN,TP
0.4299999999999998,0.6233905579399142,0.6539913143999749,0.7136563876651982,0.5943262411347517,0.36160714285714285,0.48,0.30798262879994986,419,286,65,162
0.43999999999999984,0.6448497854077253,0.6666822882494454,0.7092511013215859,0.624113475177305,0.3779342723004695,0.49310872894333846,0.33336457649889084,440,265,66,161
0.44999999999999984,0.6534334763948498,0.6633955072327928,0.6828193832599119,0.6439716312056738,0.3817733990147783,0.48973143759873616,0.32679101446558567,454,251,72,155
0.45999999999999985,0.6727467811158798,0.6701877714250007,0.6651982378854625,0.675177304964539,0.3973684210526316,0.4975288303130148,0.3403755428500015,476,229,76,151
0.46999999999999986,0.6845493562231759,0.6705220732964664,0.6431718061674009,0.6978723404255319,0.40668523676880225,0.49829351535836175,0.3410441465929328,492,213,81,146
0.47999999999999976,0.6856223175965666,0.6577904833317711,0.6035242290748899,0.7120567375886525,0.40294117647058825,0.48324514991181655,0.3155809666635423,502,203,90,137
0.48999999999999977,0.6963519313304721,0.660402411972381,0.5903083700440529,0.7304964539007093,0.41358024691358025,0.4863883847549909,0.32080482394476206,515,190,93,134
0.4999999999999998,0.7027896995708155,0.6571906145530665,0.5682819383259912,0.7460992907801418,0.41883116883116883,0.4822429906542056,0.314381229106133,526,179,98,129
0.5099999999999998,0.7081545064377682,0.653269597275596,0.5462555066079295,0.7602836879432624,0.4232081911262799,0.47692307692307695,0.30653919455119194,536,169,103,124
0.5199999999999998,0.7103004291845494,0.6472209204236573,0.5242290748898678,0.7702127659574468,0.4234875444839858,0.468503937007874,0.2944418408473146,543,162,108,119
0.5299999999999998,0.7113733905579399,0.6419564470272128,0.5066079295154186,0.7773049645390071,0.4227941176470588,0.46092184368737477,0.28391289405442555,548,157,112,115
0.5399999999999998,0.7188841201716738,0.6424407160933546,0.4933920704845815,0.7914893617021277,0.43243243243243246,0.4609053497942387,0.28488143218670925,558,147,115,112
0.5499999999999998,0.7221030042918455,0.6385946824132221,0.47577092511013214,0.8014184397163121,0.43548387096774194,0.45473684210526316,0.2771893648264443,565,140,119,108
0.5599999999999997,0.723175965665236,0.6258630924485269,0.43612334801762115,0.8156028368794326,0.43231441048034935,0.4342105263157895,0.2517261848970538,575,130,128,99
0.5699999999999997,0.7317596566523605,0.6285500046864748,0.42731277533039647,0.8297872340425532,0.4470046082949309,0.4369369369369369,0.25710000937294963,585,120,130,97
0.5799999999999997,0.7349785407725322,0.6247039710063423,0.40969162995594716,0.8397163120567376,0.45145631067961167,0.4295612009237875,0.24940794201268468,592,113,134,93
